Beznau-1,reactordetails.aspx?id=27570&rid=6DEEFC8A-B1C1-4D81-A707-EE5622F9B0D8, PWR, Operating,47.552,8.23046
Beznau-2,reactordetails.aspx?id=27570&rid=2B4C0AA4-A524-4347-BD6C-8FE8E621A62A, PWR, Operating,49.7085,8.41479
Biblis-A,reactordetails.aspx?id=27570&rid=9D4EBFB6-BD5B-4BC0-843D-3163085B467C, PWR, Operating,49.7078,8.41479
Biblis-B,reactordetails.aspx?id=27570&rid=032E11DD-FA6F-40E9-A6C2-ACD82D438839, PWR, Operating,45.3594,-85.1951
Big Rock Point,reactordetails.aspx?id=27570&rid=AF38AB52-5742-44BF-BEF2-67E5BDCBC568, BWR, Shut down,68.0586,166.492
Bilibino 1,reactordetails.aspx?id=27570&rid=5A32182D-B916-41EA-8094-0729A5A3A00D, LWGR/EGP, Operating,68.0586,166.493
Bilibino 2,reactordetails.aspx?id=27570&rid=75589097-358A-4313-A42B-6C460088F371, LWGR/EGP, Operating,68.0586,166.494
Bilibino 3,reactordetails.aspx?id=27570&rid=D7242CF5-B8E0-4988-BFB1-C16E58D12B3B, LWGR/EGP, Operating,68.0586,166.495
Bilibino 4,reactordetails.aspx?id=27570&rid=70173FBA-6AB5-405D-9916-E2B64636CAB0, LWGR/EGP, Operating,45.2562,-0.691293
Blayais-1,reactordetails.aspx?id=27570&rid=5FF6821F-F10A-40E8-9730-A1F066D2D0A8, PWR, Operating,45.2561,-0.690765
Blayais-2,reactordetails.aspx?id=27570&rid=742BDE07-2726-413C-8157-FCCD37D8C1F4, PWR, Operating,45.2561,-0.690331
Blayais-3,reactordetails.aspx?id=27570&rid=55E37393-16DB-4D8D-BCD1-AD99C5E76EA7, PWR, Operating,45.2561,-0.689882
Blayais-4,reactordetails.aspx?id=27570&rid=3BFFE4B6-810C-4BE5-A159-72F6CD9D21EF, PWR, Operating,43.607,51.283
BN-350 Aktau (Shevchenko),reactordetails.aspx?id=27570&rid=E55C38BA-B5F3-48AB-A8C4-CA6187E604B1, LMFBR, Shut down,48.4936,17.6869
Bohunice A-1,reactordetails.aspx?id=27570&rid=A7131D7D-0292-4C53-BDD4-7569CA5C5774, HWGCR, Shut down,48.4931,17.6869
Bohunice-1,reactordetails.aspx?id=27570&rid=DA51C6CD-6CB3-409B-B16C-42F04651125A, PWR/VVER, Shut down,48.4926,17.6869
Bohunice-2,reactordetails.aspx?id=27570&rid=D0E145F2-6886-4FF0-BE24-58869225E37A, PWR/VVER, ,48.4921,17.6869
Bohunice-3,reactordetails.aspx?id=27570&rid=680E471A-6BCB-496B-B2ED-921E53EC525A, PWR/VVER, Operating,48.4916,17.6869
Bohunice-4,reactordetails.aspx?id=27570&rid=75FEACEB-688D-43C9-B9C3-F3131B44CBAF, PWR/VVER, Operating,18.365,-67.2678
Bonus (Demo),reactordetails.aspx?id=27570&rid=4D295551-1856-4C76-A218-69790C56D9F9, BWR, Shut down,51.4311,3.71867
Borssele,reactordetails.aspx?id=27570&rid=397D2DB0-AB75-4ACC-B3A8-8FEDD33FC39D, PWR, Operating,51.2168,5.09937
BR-3 PWR (test),reactordetails.aspx?id=27570&rid=715DA364-EF46-4AD8-9908-554BB5AC2BAD, PWR, Shut down,51.7417,0.898978
Bradwell Unit A,reactordetails.aspx?id=27570&rid=7002E25A-95F8-4D47-A1F1-F6F529D3F188, GCR (Magnox), Shut down,51.7417,0.899978
Bradwell Unit B,reactordetails.aspx?id=27570&rid=FABA2866-F199-4DF9-9106-8A1C6279109B, GCR (Magnox), Shut down,41.247,-88.2296
Braidwood-1,reactordetails.aspx?id=27570&rid=C807CCEC-7614-4825-9F3B-9673046730B6, PWR, Operating,41.247,-88.2288
Braidwood-2,reactordetails.aspx?id=27570&rid=AFB2DB71-A1D7-4ABC-8AD5-FE1A73182A16, PWR, Operating,23.952748,52.193298
Braka-1,reactordetails.aspx?id=27570&rid=2D50F8A3-AC40-4EA4-87CF-C7FAC7303219, PWR, Planned,23.952748,52.198298
Braka-2,reactordetails.aspx?id=27570&rid=A7E2E3EB-5685-4AE9-9827-7F9E6B661EBF, PWR, Planned,23.952748,52.203298
Braka-3,reactordetails.aspx?id=27570&rid=507026F5-3956-4E2C-87D3-A925F2E5FAAC, PWR, Planned,23.952748,52.208298
Braka-4,reactordetails.aspx?id=27570&rid=0406F442-A14F-40E9-94C5-FEFE68004DBE, PWR, Planned,53.85,9.34455
Brokdorf,reactordetails.aspx?id=27570&rid=488E403F-39F5-4B1A-AB6B-AADDAA2B5318, PWR, Operating,34.7038,-87.119
Browns Ferry-1,reactordetails.aspx?id=27570&rid=23AA170E-5D08-4444-9FA3-F0387906D043, BWR, ,34.7033,-87.119
Browns Ferry-2,reactordetails.aspx?id=27570&rid=6302A297-2F8F-4522-813F-654AD7E02690, BWR, Operating,34.7028,-87.119
Browns Ferry-3,reactordetails.aspx?id=27570&rid=8D29A835-6164-42B5-9DE5-E857DCF0AEF3, BWR, Operating,44.3401,-81.5716
Bruce-1,reactordetails.aspx?id=27570&rid=C7E418B8-D602-4F74-AAEA-8D9BC5CC0B64, PHWR/CANDU, Not operating,44.3406,-81.5716
Bruce-2,reactordetails.aspx?id=27570&rid=43118DAB-686A-4156-A0A4-945535262551, PHWR/CANDU, Not operating,44.3411,-81.5716
Bruce-3,reactordetails.aspx?id=27570&rid=93B27548-9AB6-443B-AB0E-FEBEE33EBC01, PHWR/CANDU, Operating,44.3416,-81.5716
Bruce-4,reactordetails.aspx?id=27570&rid=878F95D8-B3D8-485D-A5AE-A69E5B2E561B, PHWR/CANDU, Operating,44.3198,-81.588
Bruce-5,reactordetails.aspx?id=27570&rid=31F29AB1-D390-4830-940A-A520081F153D, PHWR/CANDU, ,44.3193,-81.588
Bruce-6,reactordetails.aspx?id=27570&rid=F9BDBD0C-6785-4A05-8009-866CFE8E8446, PHWR/CANDU, ,44.3188,-81.588
Bruce-7,reactordetails.aspx?id=27570&rid=4B276C60-4734-4F48-BCDD-E16740C4A399, PHWR/CANDU, Operating,44.3183,-81.588
Bruce-8,reactordetails.aspx?id=27570&rid=C580B771-6424-4179-9B28-1C1F01E11D55, PHWR/CANDU, Operating,53.8906,9.20187
Brunsbuttel,reactordetails.aspx?id=27570&rid=F8BD42B9-8890-4FE4-943A-2975DF8E1DDF, BWR, Operating,33.9579,-78.0071
Brunswick-1,reactordetails.aspx?id=27570&rid=29E2CB90-697F-4019-9B88-8F39958270BD, BWR, Operating,33.9574,-78.0071
Brunswick-2,reactordetails.aspx?id=27570&rid=44A3C632-359C-4357-88DC-E58086D13CD4, BWR, Operating,45.7957,5.26766
Bugey-1,reactordetails.aspx?id=27570&rid=11587C45-CB5C-4E29-AD4D-AA599C0A7BE0, GCR, Shut down,45.7975,5.2672
Bugey-2,reactordetails.aspx?id=27570&rid=6664B2C3-4BE5-49DC-AED5-B2800172B2CE, PWR, Operating,45.7975,5.2682
